,clean_sentence,clean_token,,
450,narrates case shoe fetichism man perversion began age first time wore new shoes previously used only leftoff shoes elder brother felt smelt new shoes sensations unmeasured pleasure years later began use shoes method masturbation,new shoes smelt,,
451,only metals yield odour gold platina dilute sulphuric phosphoric nitric acids aqueous solutions several salts also disengage,gold platina dilute sulphuric phosphoric nitric acids aqueous solutions several salts odour,,
452,oil distilled britain flowers lavandula vera,flowers lavandula vera,,
453,perfume kept leather bag learns well sewed waxed thread,perfume,,
454,organ smell irritated perfume lacrymal sack empties nostrils explained increase tears poured eyes,perfume,,
455,noisome smell people imagine deadly pestilence probably because patients affected epidemic diseases smallpox typhus diphtheria give nauseating odours,noisome nauseating patients affected epidemic diseases smell odours,,
456,travelled season coast genoa no doubt remember charming bouquets garlands made cassie intermixed flowers,cassie,,
457,rosinous gum mostly brought turkey sometimes east indies small round drops tears pale yellowish colour rarely transparent general hardly pellucid species frankincense aromatic smell rather disagreeable acrid astringent taste chewed milky colour,species frankincense aromatic smell,,
458,come immediately poison taken may produced merely smelling,smelling,,
459,readily seen nighttime favourable retention scent evaporation not take place rapidly course shown dogs especially useful time,scent,,
460,nevertheless much truth superstition bad smells also surface accumulations filth soaking soil subsoil contaminate surface wells only requires advent typhoid “ carrier ” set widespread epidemic agoing,bad smells,,
461,wellingtonstreet albionstreet rain pool stagnant water hot weather disagreeable stench arises,disagreeable pool stagnant water stench,,
462,smell vrines haue little no smell else sweet pleasing smell finally stinking smell,little sweet pleasing stinking vrines smell smell smell smell,,
463,yards respects clean orderly never could perceive foul smell observe pool stagnant water statement borne testimony surveyor officers vestry,foul pool stagnant water smell,,
464,keep snuff canisters closely syopped prevent scent exhaling,snuff scent,,
465,colourless pale yellow odour taste copaiva,copaiva odour,,
466,strong bitters aromatick wormwood eupatorium cannabinum work volatile oyl salt blood stomach whence accounted antidotes against coagulations venoms pestilential infections,strong bitters wormwood eupatorium cannabinum aromatick,,
467,vertues turpentine plants depending oyl pectoral cleansing diuretick astringent faculty stopping vulnerary better vulnerary cleansing astringent smells balsamick turpentine plants plants bear name balsamick terebinthinate aromatick botrys mechabalsam juniper ladanum segetum agreeable stomach ordinary turpentine besides vulnerary faculty may cordial also aromatick,balsamick balsamick terebinthinate turpentine plants botrys mechabalsam juniper ladanum segetum smells aromatick aromatick,,
468,only stench perceived july strong odour sugar scum issuing arches,strong sugar scum stench odour,,
469,rheumatic condition important element cases shown collateral evidence although morbid product need not necessarily lactic acid certainly not cases pulmonary fetor,pulmonary fetor,,
470,arabian nights many allusions use perfumes women less definitely stated aphrodisiacal intent,perfumes,,
471,seems highly probable especially emphasized hagen perfumes primitively used women not sometimes case civilization idea disguising possible natural odor object heightening fortifying natural odor,perfumes,,
472,manner making snuff grains different bigness,snuff,,
473,oil lighter water peculiar sweet ethereat odour aromatic slightly biting taste,peculiar sweet ethereat odour,,
474,haue nine ten seuerall colours diuers big roses flowers saue damaske rose pleasant sight smell last not past three foure yeeres vnremoued,pleasant smell,,
475,sexual odors indeed animals seem modifications musk,sexual musk odors,,
476,middle state vegetable oyl observable turpentine plants hypericon smell taste evince pure turpentine taste bitterish astringent smell terebinthinate acid fixes much earthy parts produces astringency whereby oyl loosned,terebinthinate turpentine plants hypericon smell smell,,
477,putrefaction procure stinking smell,stinking smell,,
478,peculiar longwinged iteliconinse glades scent organs male situated anal valves female placed dorsal side abdominal extremity also scentbrush conclusion may drawn figure volume “ foreign butterflies ” belonging naturalist library series,organs scent scentbrush,,
479,vpon top glasse bodie straine haire cloth vpon lay good store roseleaues either drie halfe drie water ascend verie good smell colour,water verie good roseleaues smell,,
480,spikenard,spikenard,,
481,oil distilled britain fullgrown unripe green fruit juniperus communis,fullgrown unripe green fruit juniperus communis,,
482,not only fragile flowervases sweet odours flow breathe leaf stem whole many trees bushes stately cum trees australia sweet verbena chili,fragile bushes odours leaf stately chili,,
483,burn incense no breath might smell,incense smell,,
484,naturally air cold country clearer obnoxious vapours tropical subtropical climes spite first whiff tibetan monastery like eskimo hut grips throat say like air brewing vat,like eskimo hut vapours first air cold country tibetan monastery obnoxious whiff,,
485,oyl salt plants great proportion plant emit violent steams offending organ smelling chiefly forcibly repelling spirits towards brain creates aversion fetid smell perceived,violent steams offending,,
486,strong acid smell also always pervades atmosphere neighbourhood factories mixing going,atmosphere strong acid smell,,
487,foincoupe — popular type perfume supposed reproduce odour newmown hay,foincoupe newmown hay perfume odour,,
488,kept mouse producing putrid air manner space several months,air putrid mouse,,
489,comminuted herb soaked water exposed sun whereby acquires offensive odour liquid distilled distillate saturated common salt flocks thereby separated collected filter dissolved ether ether slowly evaporated,offensive comminuted herb odour,,
490,oil spearmint,oil spearmint,,
491,civet,civet,,
492,since structural disease constitutional fair conclude predisposing causes peculiar fetid excretion constitutional linked etiologically fibroid change tissue,peculiar excretion fetid,,
493,remarks refer chiefly cases pulmonary fetor changes structure observed,pulmonary fetor,,
494,frequent conversations among officers respecting offensive smell particular expressed surprise barracks built near nuisancer surprise officers shared believe already stated every regiment ever quartered unwholesome station wonder ought no attempt ever made government authorities remove evident only cause insalubrity — surrounding marsh,offensive smell,,
495,consider kings mills stream nuisance worst kind many complaints made thought advisable bring notice vestry,worst kind kings mills stream nuisance,,
496,not odour breath cases fetid abscess ozaena,breath abscess ozaena odour fetid,,
497,aromatic odour spicy pungent flavour leaving sensation coldness mouth,aromatic odour,,
498,odor muskduck chiefly confined breeding season musky odor negress said heightened sexual excitement,musky muskduck negress odor odor,,
499,indeed thousand causes may alter change smell,smell,,
500,opinion duty responsibility end far smells drains concerned,smells,,
501,restore lost scent musk ambergriese,lost musk ambergriese scent,,
502,indol methyl indol skatol commonly formed native proteins peptones absence carbohydrates many organisms,indol methyl indol skatol,,
503,take handful powder incorporate well mixture sift sieve add two three pounds powder even larger quantity till perfume brought proper degree strength,mixture perfume,,
504,robert walker time minister canongate church another witnesses deponed “ many time felt smell offensive high degree grounds marionville south house insomuch sicken particularly foot garden felt offensive smell sickened l unwell two days ”,offensive high degree offensive smell smell,,
505,no let pigmalion dote owne picture narcissus shape niobe numerous progenie taste shall taste sweet lord touch apprehension loue sight contemplation glory eare accent praise smell repose faire pleasant pastures word,smell,,
506,euen smell conduit conveyed vnto vs dilated fountaine gods mercie doe apprehend varieties flowers sootes sweetes moued philosopher terme sence harbinger spring,smell,,
507,elderbitters smells scorphularia discussing faculty outwardly fetidness bitterness,scorphularia smells fetidness,,
508,violet one charming odours nature well might shakspeare exclaim — sweet thief whence didst thou steal thy sweet quality smells smellword,one charming violet odours,,
509,odour true newmown hay due sweetscented grass known anthoxanthum odoratum grass although many others contribute,true newmown hay grass anthoxanthum odoratum odour sweetscented,,
510,grew cottage beyond grey granite fishingharbour dublin bay brings also faint ineffable fragrance inseparable blending emotions clings neverdying odour memory holidays ireland,faint ineffable neverdying fragrance odour,,
511,africa principally tunis essential oil cassie made sold £ per ounce french italian flowers not sufficiently powerful yield essence,oil cassie essential,,
512,think smell oyntments sinsicke soule soiled conscience cured power raise dead lazarus stinking graue hauing bene foure dayes buried,oyntments dead lazarus smell stinking,,
513,schellong states papuans kaiser wilhelms land rub various fragrant plants bodies purpose,fragrant plants,,
514,pipe also conveying solid liquid matter drain flooring houses leaky lower part houses especially no often covered liquid sewage smells abominably,abominably liquid sewage smells,,
515,observed odour sui generis compared pulmonary fetors therefore characters,sui generis pulmonary odour fetors,,
516,snuff perfum great many sorts flowers,snuff great many sorts flowers perfum,,
517,meanes pray thee shouldst thou stinking smell vrine know putrefaction,stinking vrine smell,,
518,not only musk cherished perfume islamic world special favorite prophet greatly delighted perfumes perceiver anaphoric love location world location reported said old age women location anaphoric perfumes smellword only perfume generally used women land refinements life carried far japan received chinese moreover musk still popular european perfumes,cherished only popular european musk musk perfume perfumes perfume perfumes,,
519,nauseous taste depends sweet bitter mixed mucilage pungency aloes agarick rubarb docks want only sweetness bitter slimy subacrid astringency,aloes agarick rubarb nauseous,,
520,colourless greenishyellow odour taste cubebs,cubebs odour,,
521,likewise females show either side anal organs shining spot odoriferous volatile acid,volatile acid odoriferous,,
522,snuff scented spanish manner take lump doublerefined sugar rub mortar twenty grains musk add little little pound snuff grind whole ten grains civet rubbing afterwards well hands,snuff scented,,
523,however caused excess fibrin probably predisposing exciting cause fetor,fetor,,
524,fact no ground however conclusions nothing special odour fetid bronchitis causes must abandon term perplexing unscientific unphilosophical correct phrase bronchitis fetid smellwordquality expectoration smellsource,fetid bronchitis odour,,
525,concrete gummy rosinous juice produce persia best brought home way east indies reddish orangecoloured drops tears broke inside appears pale yellow intermixed white specks fragrant smell something like sellery roots pleasant bitter acrid taste,something like sellery roots fragrant smell,,
526,gum sagapenum gum sarcocolla gum tragacanth come cheap turkey,gum sagapenum gum sarcocolla gum tragacanth,,
527,pale blue greenishblue gradually becoming yellowish brown peculiar aromatic taste odour flowers,odour,,
528,balm balsam gilead,balm balsam gilead,,
529,take much buds roses pluck green knots room put many cloves throw glassbottle well stopt expose bottle hot sun three weeks month may use perfume snuff cleansed give sweet smell,snuff sweet buds roses perfume smell,,
530,24,odour pulmonary gangrene obviously due putrescent decomposition dead pulmonary tissue odour putrefaction,pulmonary gangrene putrefaction odour odour,
531,divers bitters fetid stinking horehound eldersmells scrophularia bitterfetid stinking gums bitter well acrid fetid,fetid bitterfetid stinking acrid fetid stinking horehound scrophularia gums eldersmells,,
532,manner use perfuming snuff,snuff perfuming,,
533,chuse meet mixed dirt sticks bits cane rubbish reduce value aromatic smells better fine tears like east india gums,like east india gums smells,,
534,factories full activity month december july stores stinking ingredients used manufacturers give permanent smell parts street mixing goes action sulphuric acid upon animal vegetable matter gives stench occasioned headache nausea vomiting cough inmates houses adjacent factories,stinking permanent ingredients smell stench,,
535,sticks horrible memory fumous steamy stench parboiled cabbage filled restaurantcar train belfast—yes,fumous steamy parboiled cabbage stench,,
536,small root issue several small fibres resembling bunch brush inch long light weight darkish brown colour aromatic rather disagreeable smell careful free dust earth,aromatic rather disagreeable smell,,
537,sphinx moth musky odor confined male doubtless sexual,musky sexual sphinx moth odor,,
538,resolve part always pay great regard dictates common sense not depart without absolute necessity therefore apt think really something rose lily vulgar called smell continues exist not smelled shall proceed inquire come notion relation quality virtue smell hath sensation obliged call name want another,rose lily smell smelled smell,,
539,brought europe little hard ponderous pieces chips burnt reduced powder bitterish aromatic taste fragrant smell little use small quantity true would fetch high price ton would overdo market,fragrant smell,,
